itemid,hasbird
04bfda6a-7aa3-45e8-ab5f,0.129
04c8e434-e5d5-4680-924c,1.000
04ef301b-c0a9-42f4-87c9,0.955
050a143a-3e47-4a03-98f7,0.324
050b5ed2-3b10-4f23-b725,0.989
050e2c3a-4908-4068-b8c8,0.160
0516fc8e-04b6-4b12-bc43,0.242
051d0ba7-396e-4549-bfb1,0.399
05218a3e-b604-41c3-964f,0.326
05269266-2c06-484e-bb98,1.000
05277eb4-53cc-4e47-987d,0.324
05598d68-7a05-4d4a-944b,0.321
05636188-7b55-47cd-962e,0.628
05637837-729a-4b7c-aa7a,0.960
0565a014-d4a8-42c1-b847,0.278
0567cc43-ee56-43ee-80b6,0.205
056b466a-24a2-41bd-b302,0.996
056f9a4c-7ed2-4d12-ad11,0.377
057298ac-06bb-49ea-8959,0.309
05754d8f-3070-4824-99d2,0.120
057fc492-b92b-4799-aa6d,0.016
05854b87-b26c-429e-9290,0.992
05863946-574b-48d5-8ebd,0.221
058faea3-6680-4711-bca4,0.289
0590d062-45f4-4c6b-bde9,0.120
0592e67e-aeca-48bc-ae09,0.328
0593b840-a08f-40f3-a2b6,0.117
05988c62-b855-4999-a03c,0.392
059dc4d0-6f08-4736-8730,0.288
05a4088c-8bfa-4350-924b,0.767
05a5a89d-49ad-4d3c-b41f,0.974
05a5cc15-8076-4e27-8f59,0.111
05c727fe-ae70-4b14-9780,0.270
05d37abc-4f7b-40e4-8ea6,1.000
05e5b8b9-ad88-4939-8d3f,0.998
05e7edfa-00d5-48de-a2fc,0.338
05eab8a5-69e3-4460-a2ee,0.244
05ec4ab6-d967-4bf6-b3e5,0.452
05ec592c-27ab-479a-b499,0.220
05ec87e3-e2ff-447f-9d82,0.386
05f0f990-e34c-4df2-b2dc,0.144
05fba8d4-d7b5-4c17-a81e,0.314
06087a26-0908-4df8-9be0,0.357
060c6f7d-8b9c-48e5-baff,0.989
061a2f50-35cb-425a-a792,0.291
061c30e8-2adc-4e68-8528,0.863
062c4998-ffd3-4e7c-ad9c,0.980
063634a7-6bb8-4d37-b27b,0.990
0639afd3-1da4-49ce-a717,0.622
064e579a-d33c-447b-861d,0.333
0650e61a-7503-41eb-91b1,0.295
066ea2bb-3983-4e3b-8261,0.120
066ef509-f3de-4961-aa93,0.237
06763d28-fe31-4f01-9526,0.296
067abe77-7793-48f7-bbed,0.128
0683bb74-1cbe-44eb-8969,0.993
06864c6c-0c90-455e-8764,0.208
06909a9b-b74c-431d-95d4,0.355
0699cac0-3d61-403e-9aff,0.389
06d185c4-ee9c-4ab0-9731,0.993
06d1bca4-4a7c-4b7c-9027,0.263
06d5ccc7-dfa9-47db-bd3b,0.232
06d7284f-468d-46dd-9428,0.472
06da60e3-7b69-41c4-836b,0.979
06e92bba-51bd-4e82-acd3,0.313
06f5d45a-a295-4f2e-8862,0.381
06f859a1-670b-4c3d-8dfd,0.196
06f8ee4c-ae3b-4d1c-b266,0.372
06f8fea4-8bc6-47fd-ae15,0.456
06fc1e2b-0ce1-4ae5-9600,0.088
06fc3aa9-4fae-42a6-9a11,0.332
06fe0e15-41ce-4724-abaf,0.272
07057dfb-ec4b-4fd6-a0d8,0.269
070aebdb-5b70-4367-a3a3,0.969
070f2422-8792-4613-aa26,0.924
0721c071-7d8a-4813-83d3,0.066
07249e6a-5832-4188-8c38,0.315
072a6c45-22cb-4e11-8f72,0.327
072f371e-9659-4710-a087,0.354
073abed8-f9f7-4e3f-aceb,0.253
073c215b-1045-4a93-af19,0.992
0740389d-20a7-4eff-becb,0.430
07544f1c-557e-4a78-90c9,0.585
0755cf88-89c5-46cb-abb5,0.313
075b9a1b-56ea-4ada-99bb,0.174
076146f3-b0ae-4086-947d,0.298
076bc193-1108-43f3-a587,0.335
0770fe52-bee0-4bce-8395,0.556
0781fddc-89d0-4af6-a1af,0.261
07856f5d-fdf2-4c06-be58,0.686
0788c067-4407-4f9f-9691,0.935
0792a4ef-5ccc-412f-be30,0.293
0792b8d2-3cac-4b02-ab6c,1.000
079334b1-f82e-4cc9-9fb1,0.321
079a79c4-c5b2-4cc9-982c,0.957
079f6304-99f4-48fc-8815,0.910
07a089a4-89a1-45af-b8d6,0.343
07b2eafb-bf56-4a7f-a94b,1.000
07b79eea-ad0d-44d2-b044,0.238
07c0c07a-12f2-4ede-950d,0.332
07e7a3d9-8ad1-43fc-8cc4,0.999
07e9aaef-cbef-44e7-af35,0.343
07e9e6a9-3dda-406f-8087,0.395
07ef4c80-da1b-403a-af5c,0.361
07fcc4a3-d140-4fb7-bb07,0.317
080b86a4-42b3-45c6-9364,0.435
080e71ad-1695-41e3-8cbc,0.851
0813fab0-85b4-4eaa-aedb,0.336
081afd7c-9334-44a5-b63c,0.017
081bc75e-c8ba-4840-862e,0.921
0820e03e-b25e-4de5-b03c,0.067
08226080-77f9-4fd2-b89b,0.991
08266136-237d-4402-bb2b,0.317
08278dbb-7b9b-4bbd-b2cb,0.987
082cdbdf-ec8b-4d72-9ef0,0.309
083d6872-df69-4155-91da,1.000
083f39d6-3b72-48e4-9121,0.332
083fcf74-b486-4b31-afa6,0.618
084151b9-a16b-4250-9b7c,0.468
084bc80d-6e0e-4068-b833,0.368
08503f4f-4dae-4a72-9732,0.600
085deca7-c534-4ba6-9d3f,0.981
0867c090-426b-497f-a165,0.458
0869d7ef-807e-468b-8772,0.275
08833ccd-ffff-4216-9422,0.411
0886ba15-0e7d-4a2b-b0fb,0.218
08900459-b507-4225-8883,0.372
089ac5b7-c3d8-478b-b18b,1.000
089f94d7-461b-4527-a808,0.382
08a55555-eef9-425b-9ddc,0.278
08a58513-82ac-4740-a365,0.864
08a7a220-2810-4b8b-94ee,0.137
08aea1e3-2e78-4645-9086,0.309
08b778ba-87a3-4826-b6ab,0.368
08b7c6bc-50d4-458b-83eb,0.255
08b8b9dd-c98f-490e-a10c,0.018
08c52ffc-65cd-4f6d-ae15,0.959
08d8de29-3855-4039-8638,0.195
08dd2071-1b7b-4b15-ab9c,0.438
08e21aab-d7d3-43f2-9d31,0.350
08e33ee2-c017-4f2a-b4f4,0.330
08e731bd-40b9-4447-91c5,0.314
08e9d809-a9d0-4b2e-96fb,0.132
08ebb14f-30bb-4aaf-a444,0.999
08ee5139-a5c3-42aa-9871,0.339
08f2e69c-061c-419c-bc11,0.350
08feb24d-9b94-469f-b3ef,0.300
08ffc564-516d-4b6d-a18f,0.603
09039622-144f-4990-9c7c,0.239
0913a7b1-afa3-4401-afdf,0.287
0914aff4-a509-4d92-9cc8,0.298
0919fd4c-8dbb-4c01-8ea2,0.318
09212ce8-679a-4e1e-b678,0.236
09276804-fb39-4ba2-b533,0.335
0934b8cd-1f10-411b-aad1,0.336
0935c5a9-9e8e-4287-aaea,0.295
093dcc7c-287d-44bb-b02f,0.265
093f50ba-183d-49a2-a1c4,0.067
09408487-5d6f-49be-b0b7,0.987
094a65c7-ed2c-4e98-bb17,0.971
094b1286-e325-48ac-a33b,0.088
0956aa51-64ab-4271-88eb,0.742
0957ce22-21ed-4df0-ad4f,0.365
0959910e-e928-4b58-bb79,0.337
095c824a-9621-4d71-9f15,0.237
09692225-f389-46af-bc61,0.382
0969a53b-a494-4b82-9682,0.087
097185c6-4ed7-47b7-a062,0.993
09836095-5bb1-459b-8733,0.437
0990d733-020e-4960-8fb3,0.340
0991d6c5-dbac-4a5c-bb0f,0.790
099916f1-64bd-4ec2-801a,0.236
099efefe-ce09-4006-91df,0.927
09ab3e4e-c185-4b0e-b66d,0.294
09ac5c0b-6f43-4845-894f,0.458
09cf522f-0804-49fe-acd5,0.749
09da099b-6784-4be0-adf7,0.295
09de7da6-cef3-47a1-bcb2,0.108
09ef61ed-b37a-4017-9cf1,0.179
09f49715-963e-4262-8fa8,0.999
09f827a0-bad1-4ae4-97d2,0.958
0a008f65-8d3f-41d2-9d19,0.361
0a0e595f-3c6c-4415-aabc,0.991
0a12e2f4-6bb5-4da4-873f,0.076
0a14b869-23e2-4300-9162,0.270
0a154d1d-2812-4aee-82a2,1.000
0a1888e1-827c-42b1-b88c,0.368
0a3f5efe-ccb6-4c7f-9dd4,0.409
0a43b64a-cadf-4aff-b465,0.383
0a43bc9d-a8da-45fc-a1b2,0.468
0a458b80-cc80-4483-817e,0.435
0a4b7d9b-8b2c-4b65-8e27,0.292
0a4fb000-a57a-49f1-ba8c,0.327
0a5ba941-341e-4953-97b9,0.907
0a6741c9-2540-4116-8de5,0.441
0a77a6b6-8c48-45fe-ae0b,0.246
0a7d70e9-d8cc-44eb-8aaf,0.950
0a92d90a-ff15-4850-82a7,0.264
0a936427-026b-40f0-8951,0.993
0aa8675b-f8f8-4449-8a36,0.548
0aa8ae24-7820-4493-a8b2,0.345
0ab0f4ab-835f-4e47-a525,0.354
0abb2f27-80a3-4eb4-b319,0.300
0ac0eb7c-24c4-45a9-9fc1,0.393
0ad6cf4e-7a53-44c2-ae7e,0.352
0ae233d4-59f5-4f5c-a1e8,0.918
0ae9e15f-a18d-44b4-b0e1,0.411
0af1ec9f-0407-4819-b7df,0.279
0af29c1f-9b83-4ecf-97ad,0.190
0afa57bc-dafe-4ae8-98dc,0.998
0b130344-067d-4349-b93f,0.240
0b256f5c-3e6a-4cf8-8271,0.289
0b2678fa-3965-47de-bcc1,0.222
0b28a648-c079-47b1-bb38,0.311
0b2ec9fd-535d-439f-bfb7,0.191
0b2f9b33-f0d2-408f-bbc9,0.277
0b38155e-0250-480b-9545,0.326
0b41c4f3-6b3a-41e3-a06b,0.439
0b454eb1-a641-403e-b607,0.267
0b50aa11-ff38-478f-876a,0.331
0b51de1a-995a-46fe-b71b,0.336
0b59f95b-2d8b-4213-8bc1,0.241
0b6dc5c8-17f7-4e7e-a864,1.000
0b8c9f0a-aadd-4274-baa5,0.899
0b94c76d-9b12-433a-b7c2,0.983
0b999973-1e9f-4a52-b8a6,0.240
0b9b153d-0411-4105-a43f,0.270
0b9cd982-9212-4d6b-b049,0.281
0ba89482-fe25-4a70-baa3,0.262
0bb0a45f-2071-469f-9c18,0.297
0bbe22e5-4887-4804-8130,0.229
0bc5dc0d-b648-4118-bc00,1.000
0bc991ad-ca67-44fb-adc0,0.358
0bca57ce-071d-4dac-a320,0.288
0be612bc-1906-4544-98d3,0.094
0be87f99-a33b-42fc-9f61,0.237
0beec4fd-eac7-4178-8e8a,0.243
0bf5a948-0121-400f-9685,0.180
0bf9df31-8437-4561-ab99,0.904
0bfa47f4-1c22-4ea8-bbde,0.325
0bfe14c4-eebd-4655-ba9b,0.457
0c05995a-d003-4453-8197,0.269
0c091a01-7cf7-4b69-8464,0.337
0c0984fe-879d-472f-8246,0.298
0c0f1678-14c4-45dd-b9c5,0.284
0c124128-db04-4322-b862,0.615
0c12962e-eda5-4eb7-a05b,0.436
0c19849b-881a-4ae5-917d,0.384
0c1d9067-f09e-4d3f-81a9,0.148
0c23b4d1-2c67-4633-ada6,0.092
0c2faeaf-3645-4270-8ffc,0.114
0c3a4a44-1a0e-4b2c-af22,0.174
0c48903c-1bcc-403a-a688,0.888
0c4cd40c-1dce-4a86-8b3e,0.206
0c55b041-7209-4fee-9b10,0.687
0c576358-2811-420d-bc7f,0.242
0c5b1e67-5cd6-4428-8707,0.278
0c6238a8-1482-4a2b-8716,0.386
0c634e15-b0a1-424c-88bc,0.425
0c645966-9109-4e3d-ae3d,0.398
0c68b850-41ec-4a7c-ba08,0.253
0c712baf-8158-4595-bc06,0.688
0c7d70d7-e56c-4988-a11d,0.251
0c7d98e2-aa2a-4ff5-a87d,0.282
0c80394e-e129-44b5-899a,0.924
0c8ef158-df09-4e60-b9c6,0.296
0c94af9a-6f01-4acd-81ca,0.085
0ca58514-c9f9-43f6-bb56,0.308
0caea1f9-7b7c-48dd-a45c,0.997
0cb0cde9-b9fb-4775-93a8,0.290
0cb19aff-e01f-4d15-8f78,0.837
0cc24142-bb4c-478d-b095,0.999
0cd2131b-66c1-4e15-9ba5,0.350
0cd91d01-eb89-4409-825b,0.286
0cedd5dc-f08f-408d-a775,0.403
0cee5559-f5a9-4ab4-80ba,0.403
0cee7d0f-4bd1-4a3f-b681,0.011
0cf39def-ce59-40c0-b827,0.379
0cf4594d-f2b6-4e84-99e8,0.397
0cf9c1ab-c6f1-4fc5-99d0,0.403
0cfac683-03e9-4b81-aa7a,0.958
0d0a26be-640a-419e-85b1,0.368
0d0a83e7-ca76-404b-ba86,0.442
0d0d2cef-6dd0-49a9-84dd,0.320
0d1245b4-c70c-4967-b7eb,0.114
0d26db99-e792-446e-a8b2,0.238
0d2892ce-62c1-4ba0-a5a5,0.359
0d2d2e06-689b-4330-b470,0.373
0d3ee6a4-b571-4de0-9e0f,0.995
0d499a99-eeb5-4cd0-b041,0.258
0d4d5691-07d7-4cad-a6c1,0.990
0d4eb383-bdfc-4ed0-8f7a,0.117
0d525418-4e05-483d-b56b,0.999
0d5d49a1-e318-4d56-8ca9,0.293
0d67322a-1ad8-4139-b720,0.713
0d74a64e-450d-46f2-b4c6,0.994
0d7fa10f-dc0b-48b4-97a4,0.080
0d8d016a-8549-4301-a3cc,0.948
0d9b0c81-bf11-4b29-b24e,0.290
0da60879-d3ae-4dd1-bfee,0.100
0daa358e-be97-45e8-9d7a,0.350
0db77b04-3548-409f-88f3,0.429
0dd3534e-7d20-4305-911c,0.982
0dd874cf-e546-41aa-a7f5,0.991
0ddddc78-b77a-45bc-8129,0.101
0dddf520-6964-429a-acc7,0.656
0de9c2b9-4b33-43a0-8b88,0.933
0df39f82-3ca0-4d38-a7c1,0.331
0df4a2b0-0793-4937-a68f,0.324
0df9d14e-6805-405e-b5f4,0.236
0dfc6e1b-7d25-4aa2-92d4,0.290
0e06aacb-27fd-4e9d-9e08,0.420
0e0989ee-4f68-49d5-a6a7,0.444
0e159dd7-ab0f-4598-9514,0.974
0e2754fd-0f19-4478-ae1c,0.314
0e2e05b7-5779-4445-a6ae,0.514
0e3a6a4d-3550-483c-94e3,0.987
0e3e68d1-dee6-4a31-b5e3,0.344
0e4aa333-4d76-4e38-9822,0.999
0e4fabca-f927-48d4-9c3c,0.989
0e5cfb76-3131-424d-828e,0.323
0e654f3c-ffab-4dfa-baad,0.331
0e6fea3e-43c9-407c-8bdb,0.323
0e73adc3-a419-499b-a52e,0.347
0e79d1a1-41b6-4871-bd18,0.346
0e7faa00-601d-49c7-b3f6,0.515
0e83fcc8-088a-42d9-8440,0.368
0e8b93db-35ad-4b8f-baa4,0.369
0e8fa18a-eb60-48d3-8790,0.283
0e9a65b9-8352-445c-a249,0.910
0e9b8aa6-f626-4e72-9f7b,0.978
0ea515c6-5df1-40f9-aaf7,0.991
0ea80521-b646-4873-8356,0.401
0ea92da4-c952-4148-801a,0.380
0eaf3a5e-0458-43bc-aa90,0.396
0ec3d8b2-cdb7-44fc-beaf,0.231
0ec54925-4dd6-4cf9-ab3d,0.193
0ec68a3a-2ef1-4ccf-848c,0.307
0ecf3aab-0882-4297-875f,0.301
0ed0a58c-9b0e-4932-ad1c,0.309
0edcce4e-0e28-49af-a931,0.074
0ee81d8e-03f9-42a3-9c00,0.313
0ef0e10f-c83d-4620-b6d6,0.999
0ef48564-836a-4d2f-b2d5,0.056
0ef5542d-46f1-4027-af04,0.672
0ef57206-a4f5-4b79-94d1,0.358
0ef6be76-ca6b-481a-825b,0.217
0f108056-a834-4f70-8c9a,0.349
0f11a814-a49f-47d0-9bf2,0.348
0f126cb1-3cee-42d3-818c,1.000
0f13061a-7bef-42f1-90cb,0.210
0f13e10a-96c8-412c-91bd,0.430
0f18bce3-6c33-4e0a-8add,0.304
0f30ce38-d70d-4194-8962,0.305
0f463ae0-03fd-43db-b49a,0.136
0f4b3b0f-819f-4113-b389,0.453
0f4bd206-a26f-4e9f-a0eb,0.994
0f53a411-5f8c-488b-8537,1.000
0f5441de-e248-45cd-a125,0.948
0f54552c-1c6a-4a99-a8c0,0.231
0f5cc299-8e15-44ac-adc9,0.929
0f74badf-ca6c-455d-9587,0.827
0f7bb089-a90e-4dc5-9f93,0.489
0f7f2098-e3d7-4ecd-9c6c,0.399
0f947a38-bd1c-4ae7-9f8c,0.251
0f9b40c5-b8f2-460b-bb24,0.994
0fa1ace5-68d0-415a-bb4a,0.221
0fb3e55c-32ce-470c-8cd2,0.926
0fb4c407-bd62-48fb-affe,0.310
0fb8e7cd-f29f-4dae-826f,0.470
0fbff581-709a-491e-9c62,0.220
0fc03f27-effd-4387-9a35,0.256
0fc2aa20-ac5f-49da-91c1,0.994
0fcc95aa-eb87-4d28-a804,0.295
0fd0d174-9530-458b-b6df,0.979
0fd1614b-5179-4e58-a918,0.991
0fd401e7-e685-41e1-9669,0.490
0fd59b98-9f96-45e6-85e7,0.314
0fdc0c9c-41b4-414b-848b,0.589
0fe02152-e817-41d6-94cf,0.216
0ff4f0e8-f4d6-48d4-a9df,0.285
0ffba42d-76bd-47be-9336,0.405
1001deb3-ff6f-4ca3-bb17,0.266
1023317e-743e-4a50-a01f,0.209
1023ede4-d476-4b21-bbcf,0.159
10261481-7434-42c2-86b4,0.521
1026ecf1-9bd0-4987-8d8f,0.208
1029b734-6dca-4674-b842,0.457
1029f302-d0d6-4ec1-b1f7,0.766
102bceac-67bf-4f59-b9e4,0.085
1032859b-2ca9-4560-bae8,0.420
103c7fbe-0b04-4aae-8716,0.369
103cacd4-85e4-41e8-b85c,0.282
103e9f67-2862-4056-899e,0.220
10438f38-a342-40a8-8d03,0.310
1060bb21-3101-4d14-ad02,0.958
1063de7f-aa10-4fbf-88b9,0.864
107964e0-304e-4d09-8200,0.247
107dc175-89b6-4ff4-9508,0.312
10878f8b-9c09-4ea3-99d9,0.343
108af0de-de65-4fae-a16f,0.488
108d52c6-0556-42c9-91de,0.296
108fbecf-438a-4e4a-aa4b,0.966
108fe2ef-25b1-45d5-ba00,0.984
10946b3f-636f-4ed4-894f,0.285
1099d3f9-cf27-4ab0-a12b,0.247
10a0e167-6202-450d-97ea,0.318
10af5ccc-974a-4cb4-9d7b,0.262
10b5145c-aed0-4ead-9697,0.435
10bf45a5-8879-4836-814a,0.407
10c6d717-335a-4d60-a696,0.370
10c84ad2-c440-44ec-bdeb,0.918
10cb5aa9-8440-48d5-9acd,0.231
10ec63c4-026d-4b6d-8e99,0.258
10eda742-e31d-4e8e-8fa3,0.265
10f1eb43-2c67-43c6-ada8,0.200
10fbac93-7924-4cb2-bb9d,0.141
10fbfca2-864b-43c4-9fbc,0.411
1101d677-260e-42cb-a029,0.311
1101dd89-3f6a-417a-b174,0.749
11096569-6091-4a0c-b827,0.994
110c5e13-881e-43d0-b1c4,0.306
111f9d49-e848-4b7c-a1dd,0.993
112094bd-e4a9-4870-99e0,0.456
1120e4dd-6945-4b29-b2f8,0.439
11275d33-b7c5-443d-b16d,0.323
113881d2-d88b-4d8c-9652,0.439
113d11dc-17a2-4460-b4d8,0.171
1141a69f-de29-41b5-bedb,0.303
1149783b-1a35-4af2-8d2f,0.074
115011e9-6a51-4f55-8e9b,0.617
115b7a18-c164-4e88-982a,0.298
115eeba8-537f-4f7a-a71f,0.237
116c3c88-a412-40ec-8a73,0.274
117073b2-9789-4424-9641,0.257
117e5cc6-7fe3-4973-b336,0.373
117e65d6-6093-4420-b2da,0.297
11815fad-e83f-46ba-b869,0.251
1182d818-5c29-42c9-963a,0.899
1184682a-6452-4bc1-a72e,0.186
118f4c7f-f8e5-400d-afc1,0.347
119c5bcf-0a10-4cf4-b60e,0.182
11a225e2-2056-49cf-ab5a,0.308
11a647ea-7101-49b3-8b3a,0.183
11b057bf-17f3-4157-ac87,0.371
11b0b065-6d08-477e-b155,0.257
11bbe9c4-44b2-45b1-a251,0.220
11c5f067-c1b2-413a-9379,0.992
11c68f81-62e6-4921-9f42,0.289
11cae755-b71a-4e0d-ba4c,0.978
11cfe130-6a64-4991-a7af,0.890
11d23cc8-4ed0-4e4f-8857,0.267
11d490f2-d61c-4b96-ab61,0.492
11ebb4ec-9075-4246-ba1b,0.075
11ed0a26-3e8c-4763-9b3d,0.206
11ee9508-04da-467f-b18f,0.103
11ef6d57-f5f1-4fe2-9293,0.232
11f1a1a7-445e-44f7-81a8,0.419
11ff157d-b106-459f-85d6,0.351
120452d8-40e0-40b5-bd99,0.294
12215c65-3842-47f0-bb7b,0.985
1228a372-13ce-47b4-a4fb,0.207
122ff0cd-4de4-4c31-89a1,0.326
1244938e-8803-4a42-be32,0.522
12462d2f-7d9c-42f2-b32e,0.254
124db7f6-ba77-4bd6-9dfd,0.403
125496f0-56ef-45ae-9ac9,0.648
1254ee1e-2bad-478a-b43b,0.473
125f756d-54a4-42bf-91e4,0.100
